ReciboID;FechaPago;ClienteID;FacturaID;Importe
50001;2024-07-01;47;20036;44205,47
50002;2024-07-01;14;20037;28734,9
50003;2024-07-02;33;20007;14521,83
50004;2024-07-03;33;20021;38084,92
50005;2024-07-03;71;20044;59877,49
50006;2024-07-10;71;20048;7956,64
50007;2024-07-12;33;20007;11665,46
50008;2024-07-14;5;20116;23757,88
50009;2024-07-15;47;20159;72161,55
50010;2024-07-16;69;20062;18564,53
50011;2024-07-16;47;20157;156613,45
50012;2024-07-18;32;20097;40506,41
50013;2024-07-18;14;20120;30191,11
50014;2024-07-19;41;20046;26046,65
50015;2024-07-19;5;20150;23788,29
50016;2024-07-20;42;20064;34863,11
50017;2024-07-21;27;20025;24933,33
50018;2024-07-21;28;20189;66215,22
50019;2024-07-23;42;20052;85213,11
50020;2024-07-23;14;20186;25026,12
50021;2024-07-24;71;20175;9748,07
50022;2024-07-25;75;20051;151895,79
50023;2024-07-25;42;20059;35457,34
50024;2024-07-25;77;20089;35820,56
50025;2024-07-26;41;20079;3456,25
50026;2024-07-26;28;20226;42958,0
50027;2024-07-26;71;20238;3707,29
50028;2024-07-27;75;20076;29690,97
50029;2024-07-27;28;20206;128039,44
50030;2024-07-28;57;20004;201465,33
50031;2024-07-28;41;20102;42284,85
50032;2024-07-28;71;20198;35443,95
50033;2024-07-28;33;20203;39794,12
50034;2024-07-29;49;20013;11055,16
50035;2024-07-29;80;20020;237945,46
50036;2024-07-30;31;20012;276764,75
50037;2024-07-30;31;20018;158797,56
50038;2024-07-31;3;20026;68654,11
50039;2024-07-31;33;20286;14424,74
50040;2024-08-01;12;20016;27964,82
50041;2024-08-01;65;20092;52067,37
50042;2024-08-01;42;20169;70545,5
50043;2024-08-01;28;20303;130564,05
50044;2024-08-02;2;20003;137681,35
50045;2024-08-02;73;20006;431865,07
50046;2024-08-02;31;20008;258142,83
50047;2024-08-02;38;20015;70834,46
50048;2024-08-02;75;20137;39996,44
50049;2024-08-02;27;20165;7216,11
50050;2024-08-02;32;20217;70043,28
50051;2024-08-03;27;20170;30255,76
50052;2024-08-04;25;20029;31147,17
50053;2024-08-05;9;20063;15907,5
50054;2024-08-05;69;20156;13500,58
50055;2024-08-05;42;20161;46402,9
50056;2024-08-06;77;20149;4585,3
50057;2024-08-07;31;20018;121815,67
50058;2024-08-07;58;20078;534653,86
50059;2024-08-07;31;20082;222553,18
