ProductoID;Producto;Categoria;CostoBase;PrecioBase;_Rotacion
101;Gaseosa Cola 2.25L;Bebidas;1129,63;1450;1,028
102;Gaseosa Lima 2.25L;Bebidas;910,03;1380;1,78
103;Agua Mineral 2L;Bebidas;489,41;780;1,129
104;Agua Saborizada 1.5L;Bebidas;627,38;950;1,319
105;Jugo en Polvo x20;Bebidas;1435,31;2100;0,831
106;Cerveza Rubia 1L Ret;Bebidas;1378,05;1850;1,154
107;Vino Tinto Tetra 1L;Bebidas;1240,57;1600;1,004
108;Energizante 500ml;Bebidas;1174,84;1750;1,106
109;Soda Sifón 1.5L;Bebidas;519,98;690;1,201
110;Jugo Exprimido 1L;Bebidas;1503,97;1980;1,433
111;Aceite Girasol 1.5L;Almacén;2249,49;2900;1,091
112;Arroz Largo Fino 1kg;Almacén;931,09;1350;0,541
113;Fideos Guiseros 500g;Almacén;602,67;890;0,704
114;Harina 000 1kg;Almacén;529,6;750;0,575
115;Azúcar 1kg;Almacén;791,28;1100;0,817
116;Yerba Mate 1kg;Almacén;3056,36;4200;1,642
117;Café Torrado 500g;Almacén;4028,3;5600;1,628
118;Puré de Tomate 520g;Almacén;465,76;720;0,878
119;Atún al Natural 170g;Almacén;1802,2;2350;0,529
120;Galletitas Surtidas 400g;Almacén;1144,59;1650;2,0
121;Mermelada Durazno 454g;Almacén;1071,53;1480;1,475
122;Sal Fina 500g;Almacén;340,6;520;1,478
123;Detergente 750ml;Limpieza;824,15;1250;1,924
124;Lavandina 1L;Limpieza;508,71;680;0,531
125;Jabón en Polvo 800g;Limpieza;1851,27;2450;0,689
126;Suavizante 900ml;Limpieza;1063,16;1580;1,346
127;Limpiador Piso 900ml;Limpieza;856,89;1150;1,549
128;Esponja Multiuso x3;Limpieza;584,99;890;0,752
129;Papel Higiénico x4;Limpieza;1433,96;2100;1,622
130;Rollo Cocina x2;Limpieza;1028,26;1350;1,729
131;Desodorante Ambiente 360ml;Limpieza;1057,34;1690;0,662
132;Shampoo Familiar 930ml;Perfumería;2288,88;2950;0,968
133;Jabón Tocador x3;Perfumería;973,86;1450;1,937
134;Pasta Dental 90g;Perfumería;988,82;1380;1,573
135;Desodorante Aerosol 150ml;Perfumería;1727,64;2250;1,536
136;Máquina Afeitar x2;Perfumería;781,59;1150;0,653
137;Toallas Femeninas x8;Perfumería;1037,12;1580;1,775
138;Pañales M x30;Perfumería;4719,15;6900;0,682
139;Alcohol en Gel 250ml;Perfumería;610,13;980;1,674
140;Alfajor Triple x6;Golosinas;1956,01;2700;1,143
141;Chocolate Tableta 100g;Golosinas;1333,31;1850;1,259
142;Caramelos Surtidos 500g;Golosinas;1414,54;1950;1,774
143;Chicles Menta x20;Golosinas;940,22;1450;0,658
144;Turrón x10;Golosinas;782,84;1250;1,453
145;Papas Fritas 200g;Golosinas;1281,87;1980;1,561
146;Maní Salado 400g;Golosinas;1101,0;1550;1,601
147;Galletita Rellena x3;Golosinas;844,46;1350;0,905
