FacturaID;Fecha;ClienteID;ProductoID;Cantidad;PrecioUnitario;CostoUnitario
20001;2024-07-01;53;125;3;2487,95;1865,38
20001;2024-07-01;53;139;3;956,07;603,34
20001;2024-07-01;53;134;2;1363,95;992,05
20001;2024-07-01;53;122;6;527,67;338,29
20002;2024-07-01;59;106;8;1815,88;1357,08
20002;2024-07-01;59;127;6;1168,09;846,1
20002;2024-07-01;59;135;9;2314,34;1729,34
20002;2024-07-01;59;116;6;4099,33;3018,96
20003;2024-07-01;2;134;23;1349,08;970,84
20003;2024-07-01;2;145;21;1996,38;1294,83
20003;2024-07-01;2;105;18;2038,55;1422,93
20003;2024-07-01;2;146;21;1526,98;1116,93
20003;2024-07-01;2;106;16;1801,75;1377,6
20003;2024-07-01;2;108;18;1782,67;1195,95
20003;2024-07-01;2;104;17;935,65;628,84
20003;2024-07-01;2;130;23;1372,33;1023,34
20004;2024-07-01;57;122;24;522,14;334,61
20004;2024-07-01;57;146;19;1512,73;1112,57
20004;2024-07-01;57;104;19;935,17;628,68
20004;2024-07-01;57;108;20;1740,39;1183,74
20004;2024-07-01;57;116;21;4145,25;3100,32
20004;2024-07-01;57;104;22;934,81;621,47
20005;2024-07-01;26;122;10;521,39;342,61
20005;2024-07-01;26;104;2;930,96;622,55
20006;2024-07-01;73;123;28;1235,31;820,94
20006;2024-07-01;73;115;24;1102,64;789,31
20006;2024-07-01;73;135;26;2264,0;1694,87
20006;2024-07-01;73;112;29;1364,12;944,52
20006;2024-07-01;73;137;29;1610,47;1040,28
20006;2024-07-01;73;137;27;1549,21;1037,91
20006;2024-07-01;73;147;30;1344,81;855,07
20006;2024-07-01;73;146;29;1547,21;1096,96
20006;2024-07-01;73;108;31;1740,72;1174,63
20006;2024-07-01;73;133;31;1441,34;984,01
20007;2024-07-01;33;117;1;5757,98;4012,86
20007;2024-07-01;33;133;5;1453,71;970,48
20007;2024-07-01;33;110;2;1963,58;1519,4
20007;2024-07-01;33;110;2;1985,85;1529,7
20007;2024-07-01;33;122;10;526,19;335,44
20008;2024-07-01;31;135;19;2224,45;1694,03
20008;2024-07-01;31;141;22;1807,09;1357,15
20008;2024-07-01;31;132;19;2888,75;2328,49
20008;2024-07-01;31;121;25;1478,45;1070,34
20008;2024-07-01;31;123;16;1223,35;813,95
20008;2024-07-01;31;107;18;1558,7;1254,1
20008;2024-07-01;31;141;20;1832,23;1348,65
20009;2024-07-01;39;140;8;2712,95;1968,52
20009;2024-07-01;39;124;3;673,16;514,06
20009;2024-07-01;39;120;8;1692,85;1161,51
20009;2024-07-01;39;120;5;1685,25;1140,5
20009;2024-07-01;39;117;1;5590,92;4094,92
20010;2024-07-01;20;125;5;2381,94;1851,44
20010;2024-07-01;20;142;7;1943,02;1416,01
20010;2024-07-01;20;123;9;1266,68;821,18
20010;2024-07-01;20;123;9;1285,19;818,83
20010;2024-07-01;20;134;14;1392,41;1002,73
20010;2024-07-01;20;120;6;1631,85;1154,6
20010;2024-07-01;20;137;14;1615,3;1017,87
20010;2024-07-01;20;144;12;1287,31;790,57
20010;2024-07-01;20;122;13;507,47;342,42
20011;2024-07-01;39;143;5;1410,5;951,36
20011;2024-07-01;39;108;8;1753,27;1177,94
20011;2024-07-01;39;139;8;960,6;599,85
20012;2024-07-01;31;126;18;1587,88;1051,77
20012;2024-07-01;31;133;18;1484,71;972,51
20012;2024-07-01;31;116;29;4211,74;3004,26
20012;2024-07-01;31;116;17;4316,43;3079,63
20012;2024-07-01;31;123;21;1235,16;840,61
20013;2024-07-02;49;147;4;1333,41;860,6
20013;2024-07-02;49;133;4;1430,38;976,43
20014;2024-07-02;7;144;34;1268,39;793,26
20014;2024-07-02;7;112;27;1374,46;920,62
20014;2024-07-02;7;110;30;1950,37;1519,35
20014;2024-07-02;7;107;25;1561,33;1246,89
20014;2024-07-02;7;102;28;1403,9;893,04
20015;2024-07-02;38;117;12;5571,61;3980,09
20015;2024-07-02;38;120;4;1650,18;1134,18
20015;2024-07-02;38;109;13;707,14;529,22
20015;2024-07-02;38;142;10;1985,6;1412,75
20015;2024-07-02;38;104;8;964,49;620,49
20015;2024-07-02;38;121;6;1510,7;1073,99
20016;2024-07-02;12;127;2;1146,88;862,81
20016;2024-07-02;12;133;4;1457,36;986,42
20016;2024-07-02;12;112;2;1311,53;945,4
20016;2024-07-02;12;129;8;2152,32;1417,98
20017;2024-07-02;39;133;15;1416,65;956,15
20017;2024-07-02;39;106;8;1820,56;1380,12
20017;2024-07-02;39;120;4;1637,23;1165,16
20017;2024-07-02;39;129;2;2128,55;1456,07
20017;2024-07-02;39;133;8;1479,03;978,37
20017;2024-07-02;39;134;5;1356,59;986,63
20018;2024-07-02;31;134;19;1383,68;1007,72
20018;2024-07-02;31;120;25;1639,92;1130,39
20018;2024-07-02;31;123;25;1262,21;828,82
20018;2024-07-02;31;130;21;1311,23;1040,06
20018;2024-07-02;31;129;22;2045,64;1449,17
20018;2024-07-02;31;110;20;1946,26;1526,21
20018;2024-07-02;31;143;22;1406,75;953,7
20018;2024-07-02;31;108;23;1711,15;1163,12
20019;2024-07-02;4;107;10;1586,39;1254,88
20019;2024-07-02;4;115;10;1075,37;788,78
20019;2024-07-02;4;106;8;1801,55;1375,2
20019;2024-07-02;4;123;13;1229,12;827,94
20019;2024-07-02;4;135;9;2305,18;1738,62
20019;2024-07-02;4;102;14;1421,28;922,67
20019;2024-07-02;4;122;4;507,77;343,49
20019;2024-07-02;4;117;13;5481,84;3968,07
20020;2024-07-02;80;117;18;5766,19;4033,22
20020;2024-07-02;80;123;19;1257,91;810,94
20020;2024-07-02;80;133;15;1473,4;982,46
20020;2024-07-02;80;111;19;2891,57;2225,06
20020;2024-07-02;80;121;23;1444,04;1068,39
20021;2024-07-02;33;144;7;1217,53;793,23
20021;2024-07-02;33;105;7;2049,17;1449,02
20021;2024-07-02;33;129;2;2107,76;1424,19
20021;2024-07-02;33;106;6;1833,75;1387,16
20022;2024-07-02;7;146;28;1559,34;1094,47
20022;2024-07-02;7;133;29;1426,01;958,6
20022;2024-07-02;7;141;25;1835,3;1347,32
20022;2024-07-02;7;141;27;1902,67;1350,29
20023;2024-07-03;4;130;13;1362,78;1036,22
20023;2024-07-03;4;137;11;1619,96;1030,94
20023;2024-07-03;4;109;15;675,23;523,25
20024;2024-07-03;4;105;9;2103,84;1428,2
20024;2024-07-03;4;117;11;5540,99;4099,42
20024;2024-07-03;4;130;10;1381,05;1014,09
20024;2024-07-03;4;104;9;946,76;625,47
20024;2024-07-03;4;130;8;1343,05;1016,56
20024;2024-07-03;4;106;10;1869,78;1383,18
20024;2024-07-03;4;127;11;1136,78;847,31
20025;2024-07-03;27;116;2;4127,23;3012,01
20025;2024-07-03;27;101;5;1471,49;1114,98
20025;2024-07-03;27;120;5;1670,16;1144,6
20025;2024-07-03;27;104;1;970,62;615,89
20026;2024-07-03;3;117;6;5576,24;4012,9
20026;2024-07-03;3;132;7;2912,74;2280,19
20026;2024-07-03;3;145;5;1975,26;1291,59
20026;2024-07-03;3;120;3;1643,73;1126,54
20027;2024-07-03;11;121;2;1463,15;1064,65
20027;2024-07-03;11;126;4;1543,41;1063,58
20027;2024-07-03;11;144;5;1238,7;789,96
20027;2024-07-03;11;112;1;1321,36;919,82
20027;2024-07-03;11;130;5;1371,08;1034,66
20028;2024-07-03;64;123;3;1254,78;826,77
20028;2024-07-03;64;132;1;3036,12;2272,69
20028;2024-07-03;64;146;1;1532,9;1098,35
20028;2024-07-03;64;139;6;985,38;606,52
20028;2024-07-03;64;104;4;947,82;615,78
20028;2024-07-03;64;132;7;3034,49;2251,37
20028;2024-07-03;64;130;10;1340,64;1031,56
20028;2024-07-03;64;102;4;1413,87;912,64
20029;2024-07-03;25;108;9;1704,0;1156,21
20029;2024-07-03;25;143;4;1436,38;948,28
20029;2024-07-03;25;113;5;886,68;601,21
20029;2024-07-03;25;127;5;1126,45;852,53
20030;2024-07-03;44;133;28;1411,06;978,96
20030;2024-07-03;44;128;32;883,94;579,19
20030;2024-07-03;44;141;30;1901,55;1338,79
20030;2024-07-03;44;133;31;1486,26;966,47
20030;2024-07-03;44;133;29;1464,11;959,41
